name,company,year,Price,kms_driven,fuel_type,age,company_encoded,name_encoded,fuel_type_encoded
Renault Duster 85 PS RxE Diesel,Renault,2013,489999.0,27000,Diesel,11,24,361,0
Honda City 1.5 S MT,Honda,2011,280000.0,33000,Petrol,13,11,89,2
Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,250000.0,60000,Petrol,9,19,244,2
Maruti Suzuki Dzire,Maruti,2013,349999.0,46000,Diesel,11,19,257,0
Honda Amaze,Honda,2013,284999.0,46000,Diesel,11,11,75,0
Honda Amaze 1.5 SX i DTEC,Honda,2015,345000.0,36000,Diesel,9,11,81,0
Honda City,Honda,2015,499999.0,55000,Petrol,9,11,85,2
Datsun Redi GO S,Datsun,2017,235000.0,16000,Petrol,7,6,46,2
Maruti Suzuki SX4 ZXI MT,Maruti,2010,249999.0,36000,Petrol,14,19,289,2
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,1475000.0,47000,Diesel,9,22,349,0
Mahindra Bolero DI,Mahindra,2017,180000.0,23452,Diesel,7,18,187,0
Maruti Suzuki Swift Dzire ZDi,Maruti,2014,385000.0,35522,Diesel,10,19,300,0
Mahindra Scorpio S10 4WD,Mahindra,2015,250000.0,48508,Diesel,9,18,205,0
Maruti Suzuki Swift Vdi BSIII,Maruti,2017,180000.0,15487,Petrol,7,19,313,2
Maruti Suzuki Wagon R VXi BS III,Maruti,2013,105000.0,39000,Petrol,11,19,330,2
Maruti Suzuki Wagon R VXi Minor,Maruti,2013,105000.0,39000,Petrol,11,19,331,2
Mahindra Scorpio S10,Mahindra,2015,395000.0,35000,Diesel,9,18,204,0
Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2017,220000.0,30874,Petrol,7,19,311,2
Honda City ZX CVT,Honda,2017,170000.0,15000,Diesel,7,11,95,0
Maruti Suzuki Wagon R LX BS IV,Maruti,2013,85000.0,29685,Petrol,11,19,325,2
Ford Figo,Ford,2012,175000.0,41000,Diesel,12,9,63,0
Hyundai Eon,Hyundai,2013,190000.0,25000,Petrol,11,12,119,2
Tata Indigo eCS LS CR4 BS IV,Tata,2017,200000.0,130000,Diesel,7,30,407,0
Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,830000.0,24530,Diesel,8,9,54,0
Tata Indigo eCS LS CR4 BS IV,Tata,2017,200000.0,130000,Diesel,7,30,407,0
Mahindra Scorpio SLE BS IV,Mahindra,2012,570000.0,19000,Diesel,12,18,207,0
Volkswagen Polo Highline Exquisite P,Volkswagen,2014,315000.0,60000,Petrol,10,34,473,2
Skoda Fabia Classic 1.2 MPI,Skoda,2010,182000.0,60000,Petrol,14,26,378,2
Maruti Suzuki Stingray VXi,Maruti,2015,315000.0,30000,Petrol,9,19,290,2
Chevrolet Spark LS 1.0,Chevrolet,2010,110000.0,41000,Petrol,14,4,35,2
Renault Duster 110PS Diesel RxZ,Renault,2012,501000.0,35000,Diesel,12,24,360,0
Honda City,Honda,2015,448999.0,54000,Petrol,9,11,85,2
Mini Cooper S 1.6,Mini,2013,1891111.0,13000,Petrol,11,21,346,2
Datsun Redi GO S,Datsun,2017,235000.0,16000,Petrol,7,6,46,2
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,159500.0,38200,Diesel,13,26,376,0
Honda Amaze,Honda,2015,344999.0,22000,Petrol,9,11,75,2
Honda Amaze,Honda,2015,344999.0,22000,Petrol,9,11,75,2
Renault Duster,Renault,2014,449999.0,50000,Diesel,10,24,356,0
Mini Cooper S 1.6,Mini,2013,1891111.0,13500,Petrol,11,21,346,2
Mahindra Scorpio S4,Mahindra,2015,865000.0,30000,Diesel,9,18,206,0
Mahindra Scorpio VLX 2WD BS IV,Mahindra,2014,699000.0,50000,Diesel,10,18,211,0
Mahindra Quanto C8,Mahindra,2013,375000.0,20000,Diesel,11,18,199,0
Ford EcoSport,Ford,2017,489999.0,39000,Petrol,7,9,53,2
Honda Brio,Honda,2012,224999.0,30000,Petrol,12,11,82,2
Volkswagen Vento Highline Plus 1.5 Diesel AT,Volkswagen,2019,1200000.0,3600,Diesel,5,34,478,0
Hyundai i20 Magna,Hyundai,2009,195000.0,32000,Petrol,15,12,174,2
Toyota Corolla Altis Diesel D4DG,Toyota,2010,351000.0,38000,Diesel,14,31,441,0
Hyundai Verna Transform SX VTVT,Hyundai,2008,160000.0,45000,Petrol,16,12,157,2
Toyota Corolla Altis Petrol Ltd,Toyota,2009,240000.0,35000,Petrol,15,31,443,2
Honda City 1.5 EXi New,Honda,2005,90000.0,50000,Petrol,19,11,87,2
Hyundai Elite i20 Magna 1.2,Hyundai,2014,415000.0,32000,Petrol,10,12,117,2
Skoda Fabia 1.2L Diesel Elegance,Skoda,2011,155000.0,45863,Diesel,13,26,377,0
BMW 3 Series 320i,BMW,2011,600000.0,60500,Petrol,13,3,11,2
Maruti Suzuki A Star Lxi,Maruti,2011,189500.0,12500,Petrol,13,19,233,2
Toyota Etios GD,Toyota,2013,350000.0,60000,Diesel,11,31,448,0
Ford Figo Diesel EXI Option,Ford,2012,210000.0,35000,Diesel,12,9,65,0
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2014,390000.0,35000,Petrol,10,19,299,2
Chevrolet Beat LT Diesel,Chevrolet,2012,135000.0,45000,Diesel,12,4,22,0
BMW 7 Series 740Li Sedan,BMW,2009,1600000.0,35000,Petrol,15,3,14,2
Mahindra XUV500 W8 AWD 2013,Mahindra,2013,701000.0,38000,Diesel,11,18,224,0
Hyundai i10 Magna 1.2,Hyundai,2014,265000.0,18000,Petrol,10,12,163,2
Hyundai Verna Fluidic New,Hyundai,2015,525000.0,35000,Diesel,9,12,156,0
Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,2013,372000.0,13349,Petrol,11,19,312,2
Maruti Suzuki Ertiga ZXI Plus,Maruti,2016,635000.0,29000,Petrol,8,19,267,2
Ford EcoSport Titanium 1.5L TDCi,Ford,2014,550000.0,44000,Diesel,10,9,56,0
Maruti Suzuki Ertiga Vxi,Maruti,2016,575000.0,29000,Petrol,8,19,266,2
Maruti Suzuki Ertiga VDi,Maruti,2013,485000.0,42000,Diesel,11,19,265,0
Maruti Suzuki Alto LXi BS III,Maruti,2012,155000.0,14000,Petrol,12,19,247,2
Hyundai Grand i10 Asta 1.1 CRDi,Hyundai,2014,345000.0,49000,Diesel,10,12,131,0
Honda Amaze 1.2 S i VTEC,Honda,2014,325000.0,42000,Petrol,10,11,77,2
Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,329500.0,36200,Diesel,12,12,173,0
Ford Figo Diesel EXI,Ford,2014,195000.0,50000,Diesel,10,9,64,0
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,251111.0,55000,Petrol,9,19,261,2
Maruti Suzuki Ertiga ZXi,Maruti,2014,569999.0,45000,Petrol,10,19,268,2
Maruti Suzuki Esteem LXi BS III,Maruti,2007,69999.0,51000,Petrol,17,19,269,2
Maruti Suzuki Ritz VXI,Maruti,2014,299999.0,19000,Petrol,10,19,284,2
Maruti Suzuki Dzire,Maruti,2009,220000.0,46000,Petrol,15,19,257,2
Maruti Suzuki Ritz LDi,Maruti,2013,399999.0,33000,Diesel,11,19,282,0
Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,2013,372000.0,13349,Petrol,11,19,312,2
Maruti Suzuki Dzire VDI,Maruti,2015,450000.0,104000,Diesel,9,19,259,0
Toyota Etios Liva G,Toyota,2014,270000.0,55000,Petrol,10,31,451,2
Hyundai i20 Sportz 1.4 CRDI,Hyundai,2011,350000.0,33333,Diesel,13,12,179,0
Chevrolet Spark,Chevrolet,2012,158400.0,33600,Petrol,12,4,33,2
Maruti Suzuki Alto K10 VXi AMT,Maruti,2017,350000.0,5600,Petrol,7,19,244,2
Nissan Micra XV,Nissan,2011,179000.0,41000,Petrol,13,23,351,2
Maruti Suzuki Swift,Maruti,2007,125000.0,70000,Petrol,17,19,291,2
Maruti Suzuki Alto 800,Maruti,2018,200000.0,7500,Petrol,6,19,235,2
Honda Amaze 1.5 S i DTEC,Honda,2013,299000.0,45000,Diesel,11,11,80,0
Maruti Suzuki Alto 800 Vxi,Maruti,2015,220000.0,38000,Petrol,9,19,239,2
Chevrolet Beat,Chevrolet,2015,150000.0,30000,Petrol,9,4,18,2
Toyota Corolla,Toyota,2009,275000.0,26000,,15,31,437,3
Honda City 1.5 V MT,Honda,2010,285000.0,35000,Petrol,14,11,91,2
Ford EcoSport Trend 1.5L TDCi,Ford,2016,830000.0,24330,Diesel,8,9,58,0
Hyundai i20 Asta 1.2,Hyundai,2009,210000.0,65480,Petrol,15,12,172,2
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2013,340000.0,41000,Petrol,11,19,299,2
Tata Indica V2 eLS,Tata,2006,90000.0,20000,Petrol,18,30,395,2
Hindustan Motors Ambassador,Hindustan,2000,70000.0,200000,Diesel,24,10,72,0
Toyota Corolla Altis 1.8 GL,Toyota,2010,289999.0,70000,Petrol,14,31,439,2
Toyota Corolla Altis 1.8 J,Toyota,2012,349999.0,59000,Petrol,12,31,440,2
Toyota Innova 2.5 GX BS IV 7 STR,Toyota,2012,849999.0,99000,Diesel,12,31,461,0
Volkswagen Jetta Highline TDI AT,Volkswagen,2014,749999.0,46000,Diesel,10,34,469,0
Volkswagen Polo Comfortline 1.2L P,Volkswagen,2015,399999.0,2800,Petrol,9,34,472,2
Volkswagen Polo,Volkswagen,2014,274999.0,32000,Petrol,10,34,471,2
Mahindra Scorpio,Mahindra,2015,984999.0,22000,Diesel,9,18,200,0
Renault Duster,Renault,2014,449999.0,50000,Diesel,10,24,356,0
Honda Amaze,Honda,2015,344999.0,22000,Petrol,9,11,75,2
Nissan Sunny,Nissan,2012,224999.0,45000,Petrol,12,23,352,2
Hyundai Elite i20,Hyundai,2018,599999.0,21000,Petrol,6,12,114,2
Renault Kwid,Renault,2016,244999.0,11000,Petrol,8,24,366,2
Renault Duster,Renault,2013,399999.0,41000,Diesel,11,24,356,0
Ford EcoSport,Ford,2017,489999.0,39000,Petrol,7,9,53,2
Renault Duster,Renault,2014,474999.0,50000,Diesel,10,24,356,0
Mahindra Scorpio VLX Airbag,Mahindra,2011,499999.0,66000,Diesel,13,18,213,0
Maruti Suzuki Alto 800 Lxi,Maruti,2018,310000.0,3000,Petrol,6,19,238,2
Chevrolet Spark LT 1.0,Chevrolet,2010,85000.0,45000,Petrol,14,4,36,2
Datsun Redi GO T O,Datsun,2016,245000.0,7000,Petrol,8,6,47,2
Maruti Suzuki Swift RS VDI,Maruti,2010,189500.0,38500,Diesel,14,19,305,0
Fiat Punto Emotion 1.2,Fiat,2012,169500.0,37200,Diesel,12,7,50,0
Maruti Suzuki Swift RS VDI,Maruti,2010,159500.0,43200,Diesel,14,19,305,0
Toyota Etios GD,Toyota,2013,275000.0,24800,Petrol,11,31,448,2
Hyundai i20 Sportz 1.4 CRDI,Hyundai,2014,370000.0,60000,Diesel,10,12,179,0
Hyundai i10 Sportz 1.2,Hyundai,2010,168000.0,45872,Petrol,14,12,166,2
Chevrolet Beat LT Opt Diesel,Chevrolet,2011,150000.0,40000,Diesel,13,4,23,0
Chevrolet Beat LS Diesel,Chevrolet,2011,145000.0,45000,Diesel,13,4,20,0
Chevrolet Beat LT Diesel,Chevrolet,2012,98500.0,38000,Diesel,12,4,22,0
Mahindra Scorpio VLX 2WD BS IV,Mahindra,2014,699000.0,50000,Diesel,10,18,211,0
Tata Indigo CS,Tata,2011,85000.0,11400,Diesel,13,30,398,0
Toyota Corolla Altis 1.8 J,Toyota,2015,575000.0,42000,Petrol,9,31,440,2
Honda City 1.5 V MT,Honda,2014,549000.0,39000,Petrol,10,11,91,2
Maruti Suzuki Swift VDi,Maruti,2011,209000.0,47000,Diesel,13,19,307,0
Hyundai Eon Era Plus,Hyundai,2013,185000.0,27000,Petrol,11,12,121,2
Mahindra Scorpio S10,Mahindra,2015,900000.0,97200,Diesel,9,18,204,0
Mahindra XUV500,Mahindra,2014,699999.0,52000,Diesel,10,18,220,0
Honda Brio,Honda,2012,224999.0,30000,Petrol,12,11,82,2
Ford Fiesta,Ford,2011,274999.0,55000,Diesel,13,9,61,0
Honda Amaze,Honda,2013,284999.0,46000,Diesel,11,11,75,0
Honda City,Honda,2015,599999.0,30000,Diesel,9,11,85,0
Maruti Suzuki Wagon R,Maruti,2012,199999.0,44000,Petrol,12,19,319,2
Honda City,Honda,2014,544999.0,45000,Diesel,10,11,85,0
Hyundai i20,Hyundai,2009,199000.0,31000,Petrol,15,12,167,2
Tata Indigo eCS LX TDI BS III,Tata,2016,320000.0,175430,Diesel,8,30,409,0
Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2015,540000.0,38000,Diesel,9,12,125,0
Mahindra Quanto C8,Mahindra,2013,340000.0,37000,Diesel,11,18,199,0
Fiat Petra ELX 1.2 PS,Fiat,2008,75000.0,65000,Petrol,16,7,49,2
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,159500.0,38200,Diesel,13,26,376,0
Mini Cooper S 1.6,Mini,2013,1891111.0,13000,Petrol,11,21,346,2
Maruti Suzuki Ciaz VXi Plus,Maruti,2016,700000.0,3350,Petrol,8,19,254,2
Maruti Suzuki Zen VX,Maruti,2000,55000.0,60000,Petrol,24,19,337,2
Honda City,Honda,2015,448999.0,54000,Petrol,9,11,85,2
Hyundai Creta 1.6 SX Plus Petrol,Hyundai,2017,895000.0,32000,Petrol,7,12,110,2
"Tata indigo ecs LX, 201",Tata,2015,150000.0,0,,9,30,435,3
Mahindra Scorpio SLX,Mahindra,2007,355000.0,75000,Diesel,17,18,208,0
Mahindra Scorpio SLE BS IV,Mahindra,2012,565000.0,62000,Diesel,12,18,207,0
Toyota Innova 2.5 G BS III 8 STR,Toyota,2006,365000.0,73000,Diesel,18,31,460,0
Maruti Suzuki Alto K10 VXi AMT,Maruti,2011,145000.0,41000,Petrol,13,19,244,2
Maruti Suzuki Wagon R LXI BS IV,Maruti,2011,210000.0,35000,Petrol,13,19,326,2
Maruti Suzuki Alto Std BS IV,Maruti,2013,125000.0,39000,Petrol,11,19,248,2
Maruti Suzuki Wagon R LXi BS III,Maruti,2009,135000.0,45000,Petrol,15,19,327,2
Maruti Suzuki Swift VXI BSIII,Maruti,2006,135000.0,45000,Petrol,18,19,310,2
Tata Sumo Victa EX 10 by 7 Str BSIII,Tata,2012,285000.0,65000,Diesel,12,30,422,0
MARUTI SUZUKI DESI,MARUTI,2015,400000.0,0,,9,17,185,3
Maruti Suzuki Wagon R LXi BS III,Maruti,2010,145000.0,54870,Petrol,14,19,327,2
Maruti Suzuki Alto LXi BS III,Maruti,2010,135000.0,34580,Petrol,14,19,247,2
Volkswagen Passat Diesel Comfortline AT,Volkswagen,2009,450000.0,97000,Diesel,15,34,470,0
Renault Scala RxL Diesel Travelogue,Renault,2015,375000.0,25000,Diesel,9,24,373,0
Mahindra Quanto C8,Mahindra,2013,375000.0,20000,Diesel,11,18,199,0
Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014,365000.0,20000,Petrol,10,12,137,2
Hyundai i20 Active 1.2 SX,Hyundai,2015,500000.0,18000,Petrol,9,12,169,2
Mahindra Xylo E4,Mahindra,2012,400000.0,35000,Diesel,12,18,227,0
Mahindra Jeep MM 550 XDB,Mahindra,2019,390000.0,60,Diesel,5,18,192,0
Renault Duster 110PS Diesel RxZ,Renault,2012,501000.0,35000,Diesel,12,24,360,0
Mahindra Bolero SLE BS IV,Mahindra,2013,330000.0,80200,Diesel,11,18,190,0
Force Motors Force One LX ABS 7 STR,Force,2015,580000.0,3200,Diesel,9,8,51,0
Maruti Suzuki SX4,Maruti,2012,265000.0,46000,Diesel,12,19,287,0
Mahindra Jeep CL550 MDI,Mahindra,2019,379000.0,0,Diesel,5,18,191,0
Maruti Suzuki Alto 800,Maruti,2015,219000.0,5000,Petrol,9,19,235,2
Mahindra Jeep CL550 MDI,Mahindra,2018,385000.0,588,Diesel,6,18,191,0
Toyota Etios,Toyota,2011,275000.0,36000,Diesel,13,31,446,0
Volkswagen Polo,Volkswagen,2015,330000.0,38000,Diesel,9,34,471,0
Honda City ZX VTEC,Honda,2008,110000.0,45000,Petrol,16,11,98,2
Maruti Suzuki Wagon R LX BS III,Maruti,2006,80000.0,71200,Petrol,18,19,324,2
Honda City VX O MT Diesel,Honda,2016,519000.0,52000,Diesel,8,11,93,0
Mahindra Thar CRDe 4x4 AC,Mahindra,2016,730000.0,29000,Diesel,8,18,219,0
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,1475000.0,47000,Diesel,9,22,349,0
Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,2009,699000.0,47000,Petrol,15,2,3,2
Mercedes Benz GLA Class 200 CDI Sport,Mercedes,2015,2000000.0,20000,Diesel,9,20,344,0
Land Rover Freelander 2 SE,Land,2015,2100000.0,30000,Diesel,9,16,184,0
Renault Kwid RXT,Renault,2017,340000.0,5000,Petrol,7,24,369,2
Tata Aria Pleasure 4X2,Tata,2014,390000.0,35000,Diesel,10,30,387,0
Mercedes Benz B Class B180 Sports,Mercedes,2014,1400000.0,31000,Petrol,10,20,340,2
Datsun GO T O,Datsun,2016,245000.0,7000,Petrol,8,6,43,2
Tata Indigo eCS LX TDI BS III,Tata,2016,320000.0,175430,Diesel,8,30,409,0
Tata Indigo eCS LX TDI BS III,Tata,2016,320000.0,175400,Diesel,8,30,409,0
Honda Jazz VX MT,Honda,2016,450000.0,41000,Petrol,8,11,100,2
Honda Amaze 1.2 S i VTEC,Honda,2014,311000.0,33000,Petrol,10,11,77,2
Honda Amaze,Honda,2013,284999.0,46000,Diesel,11,11,75,0
Honda City,Honda,2012,399999.0,45000,Petrol,12,11,85,2
Honda City,Honda,2015,599999.0,39000,Diesel,9,11,85,0
Honda Amaze,Honda,2015,344999.0,22000,Petrol,9,11,75,2
Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,2009,699000.0,47000,Petrol,15,2,3,2
Force Motors Force One LX ABS 7 STR,Force,2015,580000.0,3200,Diesel,9,8,51,0
Mahindra Scorpio S4,Mahindra,2015,855000.0,30000,Diesel,9,18,206,0
Hyundai i20 Active 1.4L SX O,Hyundai,2015,535000.0,37000,Diesel,9,12,170,0
Mini Cooper S,Mini,2013,1891111.0,13000,Petrol,11,21,345,2
Maruti Suzuki Ciaz ZXI Plus,Maruti,2017,699000.0,14000,Petrol,7,19,255,2
Chevrolet Tavera Neo,Chevrolet,2013,375000.0,55000,Diesel,11,4,39,0
Honda Amaze,Honda,2013,284999.0,46000,Diesel,11,11,75,0
Hyundai Eon Sportz,Hyundai,2012,178000.0,30000,Petrol,12,12,124,2
Tata Sumo Gold Select Variant,Tata,2013,300000.0,50000,Diesel,11,30,420,0
Maruti Suzuki Wagon R 1.0,Maruti,2003,90000.0,45000,Petrol,21,19,320,2
Maruti Suzuki Esteem VXi BS III,Maruti,2006,95000.0,45000,Petrol,18,19,270,2
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,255000.0,9300,Petrol,9,19,261,2
Chevrolet Enjoy 1.4 LS 8 STR,Chevrolet,2013,245000.0,55000,Diesel,11,4,29,0
Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,329500.0,36200,Diesel,12,12,173,0
Ford Figo Diesel EXI,Ford,2014,195000.0,50000,Diesel,10,9,64,0
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,251111.0,55000,Petrol,9,19,261,2
Maruti Suzuki Ertiga ZXi,Maruti,2014,569999.0,45000,Petrol,10,19,268,2
Maruti Suzuki Esteem LXi BS III,Maruti,2007,69999.0,51000,Petrol,17,19,269,2
Maruti Suzuki Ritz VXI,Maruti,2014,299999.0,19000,Petrol,10,19,284,2
Maruti Suzuki Dzire,Maruti,2009,220000.0,46000,Petrol,15,19,257,2
Maruti Suzuki Ritz LDi,Maruti,2013,399999.0,33000,Diesel,11,19,282,0
Maruti Suzuki SX4 ZXI MT,Maruti,2010,249999.0,36000,Petrol,14,19,289,2
Maruti Suzuki Wagon R 1.0 VXi,Maruti,2015,289999.0,22000,Petrol,9,19,321,2
Mini Cooper S 1.6,Mini,2013,1891111.0,13500,Petrol,11,21,346,2
Nissan Terrano XL D Plus,Nissan,2015,499999.0,60000,Diesel,9,23,354,0
Renault Duster 85 PS RxE Diesel,Renault,2013,489999.0,27000,Diesel,11,24,361,0
Renault Duster 85 PS RxE Diesel,Renault,2014,489999.0,59000,Diesel,10,24,361,0
Renault Duster 85 PS RxL Diesel,Renault,2015,549999.0,19000,Diesel,9,24,362,0
Maruti Suzuki Dzire ZXI,Maruti,2013,380000.0,30000,Petrol,11,19,260,2
Renault Kwid RXT Opt,Renault,2018,325000.0,15000,Petrol,6,24,370,2
Maruti Suzuki Maruti 800 Std,Maruti,2003,57000.0,56758,Petrol,21,19,273,2
Renault Kwid 1.0 RXT AMT,Renault,2018,349999.0,10000,Petrol,6,24,368,2
Renault Lodgy 85 PS RXL,Renault,2018,689999.0,20000,Diesel,6,24,371,0
Renault Scala RxL Diesel,Renault,2014,349999.0,49000,Diesel,10,24,372,0
Hyundai Grand i10 Asta 1.2 Kappa VTVT O,Hyundai,2014,410000.0,41000,Petrol,10,12,133,2
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2011,225000.0,45000,Petrol,13,19,299,2
Chevrolet Beat LS Petrol,Chevrolet,2010,120000.0,43000,Petrol,14,4,21,2
Tata Indigo eCS LX TDI BS III,Tata,2016,320000.0,175430,Diesel,8,30,409,0
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2000,59000.0,56450,Petrol,24,12,145,2
Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2015,540000.0,38000,Diesel,9,12,125,0
Chevrolet Beat LS Petrol,Chevrolet,2010,80000.0,56000,Petrol,14,4,21,2
Mahindra Quanto C8,Mahindra,2013,340000.0,37000,Diesel,11,18,199,0
Fiat Petra ELX 1.2 PS,Fiat,2008,75000.0,65000,Petrol,16,7,49,2
Chevrolet Beat LS Petrol,Chevrolet,2015,220000.0,32700,Petrol,9,4,21,2
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,159500.0,38200,Diesel,13,26,376,0
Ford EcoSport Titanium 1.5L TDCi,Ford,2016,599000.0,30000,Diesel,8,9,56,0
Hyundai Accent GLX,Hyundai,2006,80000.0,56000,Petrol,18,12,107,2
Yama,Yamaha,2015,55000.0,0,,9,37,482,3
Mahindra TUV300 T4 Plus,Mahindra,2016,675000.0,9000,Diesel,8,18,217,0
Mini Cooper S 1.6,Mini,2013,1891111.0,13000,Petrol,11,21,346,2
Mini Cooper S 1.6,Mini,2013,1891111.0,13000,Petrol,11,21,346,2
Tata Indica V2 Xeta e GLE,Tata,2008,150000.0,11000,Petrol,16,30,394,2
Mini Cooper S,Mini,2013,1891111.0,13000,Petrol,11,21,345,2
Tata Indigo CS LS DiCOR,Tata,2009,72500.0,46000,Diesel,15,30,400,0
Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2019,610000.0,73,Petrol,5,19,311,2
Mahindra Scorpio VLX Special Edition BS III,Mahindra,2004,230000.0,160000,Diesel,20,18,214,0
Honda Accord,Honda,2009,175000.0,58559,Petrol,15,11,74,2
Mahindra Scorpio S4,Mahindra,2015,855000.0,30000,Diesel,9,18,206,0
Chevrolet Tavera Neo,Chevrolet,2013,375000.0,55000,Diesel,11,4,39,0
Ford EcoSport Titanium 1.5 TDCi,Ford,2014,520000.0,57000,Diesel,10,9,55,0
Maruti Suzuki Ertiga,Maruti,2015,524999.0,50000,Diesel,9,19,263,0
Honda Amaze,Honda,2014,299999.0,37000,Petrol,10,11,75,2
Maruti Suzuki Dzire,Maruti,2012,299999.0,40000,Petrol,12,19,257,2
Honda City,Honda,2011,284999.0,55000,Petrol,13,11,85,2
Mahindra Scorpio 2.6 CRDe,Mahindra,2007,220000.0,170000,Diesel,17,18,201,0
Maruti Suzuki Dzire,Maruti,2014,424999.0,55000,Diesel,10,19,257,0
